Timestamp,Marker ID,Position (x),Position (y),Position (z),direction,x-step
2023-06-08 13:22:15,4,1.5842887629510491,3.4518959864946277,4.0723497002170355,left,200
2023-06-08 13:22:15,1,3.540360130317977,3.081357260240161,7.028253039412299,left,200
2023-06-08 13:22:15,4,1.551805777236015,3.3844784311018024,3.9566002052761426,left,200
2023-06-08 13:22:15,1,3.5362121865800393,3.079927597886019,7.033090212733775,left,200
2023-06-08 13:22:15,4,1.5448678473227242,3.366580351334146,3.978495825175362,left,200
2023-06-08 13:22:15,1,3.5348202165800804,3.0927635651116505,7.029723971124776,left,200
2023-06-08 13:22:15,4,1.5253167005402235,3.3345550244753834,3.9128843238810487,left,200
2023-06-08 13:22:15,1,3.537039612878655,3.084401372123133,7.026373373456614,left,200
2023-06-08 13:22:15,4,1.5332119419672843,3.345105725741361,3.908955530632141,left,200
2023-06-08 13:22:15,1,3.534303714686627,3.0856588399707774,7.044840737475134,left,200
2023-06-08 13:22:15,4,1.5479947027290661,3.3845959420604896,3.995448048957051,left,200
2023-06-08 13:22:15,1,3.537039612878655,3.084401372123133,7.026373373456614,left,200
2023-06-08 13:22:15,4,1.5499122465043078,3.3806252359687683,3.953458366107546,left,200
2023-06-08 13:22:15,1,3.5392631702688,3.0950191293319427,7.044837884781327,left,200
2023-06-08 13:22:15,4,1.5489797984157487,3.382078380921307,3.9918845093234077,left,200
2023-06-08 13:22:15,1,3.5452784953792973,3.0836959124376406,7.05384602113654,left,200
2023-06-08 13:22:15,4,1.545343223432878,3.382306394147338,3.957542568116171,left,200
2023-06-08 13:22:15,1,3.5452352705597354,3.0770692832205073,7.029376056912981,left,200
2023-06-08 13:22:15,4,1.6175318778168368,3.514807728461615,4.138739827667165,left,200
2023-06-08 13:22:15,1,3.537039612878655,3.084401372123133,7.026373373456614,left,200
2023-06-08 13:22:15,4,1.5446378598825172,3.3586451209617025,3.938982859101298,left,200
2023-06-08 13:22:15,1,3.534725045537031,3.081030392273142,7.034224107906034,left,200
2023-06-08 13:22:15,4,1.5478336963907513,3.3869679538596347,3.960580660835606,left,200
2023-06-08 13:22:15,1,3.543581133710375,3.0724412742120872,7.03481051122207,left,200
