Timestep,Marker ID,Position (x),Position (y),Position (z)
0,4,12.565793921160406,8.264386265085122,51.87654800531174
0,3,-14.107774713402756,-10.511420984508508,38.22313131337092
1,4,12.565793921160406,8.264386265085122,51.87654800531174
1,3,-14.107774713402756,-10.511420984508508,38.22313131337092
2,4,12.565793921160406,8.264386265085122,51.87654800531174
2,3,-14.107774713402756,-10.511420984508508,38.22313131337092
3,17,39.168091038196295,22.54614481649836,44.047427915891866
3,4,12.565793921160406,8.264386265085122,51.87654800531174
3,3,-14.107774713402756,-10.511420984508508,38.22313131337092
4,17,103.64998172229917,59.78844362873551,116.57370342696072
4,4,12.565105303282753,8.248147746613474,51.848315865973376
4,3,-14.250612934556745,-10.587620980159933,38.614675269840276
5,4,12.565793921160406,8.264386265085122,51.87654800531174
5,3,-14.206243764128534,-10.572610938266342,38.4498567579786
6,4,12.565793921160406,8.264386265085122,51.87654800531174
6,3,-14.107774713402756,-10.511420984508508,38.22313131337092
7,4,12.565793921160406,8.264386265085122,51.87654800531174
7,3,-14.206243764128534,-10.572610938266342,38.4498567579786
8,4,12.565793921160406,8.264386265085122,51.87654800531174
8,3,-14.107774713402756,-10.511420984508508,38.22313131337092
9,4,12.565793921160406,8.264386265085122,51.87654800531174
9,3,-14.206243764128534,-10.572610938266342,38.4498567579786
10,4,12.565793921160406,8.264386265085122,51.87654800531174
10,3,-14.047833524738964,-10.450487866758928,38.05991412111097
11,4,12.565793921160406,8.264386265085122,51.87654800531174
11,3,-14.047833524738964,-10.450487866758928,38.05991412111097
12,4,12.565793921160406,8.264386265085122,51.87654800531174
12,3,-14.206243764128534,-10.572610938266342,38.4498567579786
13,4,12.565793921160406,8.264386265085122,51.87654800531174
13,3,-14.206243764128534,-10.572610938266342,38.4498567579786
14,4,12.565793921160406,8.264386265085122,51.87654800531174
14,3,-14.107774713402756,-10.511420984508508,38.22313131337092
15,17,103.64998172229917,59.78844362873551,116.57370342696072
15,4,12.565793921160406,8.264386265085122,51.87654800531174
15,3,-14.107774713402756,-10.511420984508508,38.22313131337092
16,4,12.565793921160406,8.264386265085122,51.87654800531174
16,3,-14.107774713402756,-10.511420984508508,38.22313131337092
17,4,12.565793921160406,8.264386265085122,51.87654800531174
17,3,-14.107774713402756,-10.511420984508508,38.22313131337092
18,4,12.565793921160406,8.264386265085122,51.87654800531174
18,3,-14.107774713402756,-10.511420984508508,38.22313131337092
19,4,12.565793921160406,8.264386265085122,51.87654800531174
19,3,-14.107774713402756,-10.511420984508508,38.22313131337092
20,4,12.565793921160406,8.264386265085122,51.87654800531174
20,3,-14.107774713402756,-10.511420984508508,38.22313131337092
21,4,12.565793921160406,8.264386265085122,51.87654800531174
21,3,-14.107774713402756,-10.511420984508508,38.22313131337092
22,4,12.670411924629834,8.346419023925726,52.45453765252165
22,3,-14.107774713402756,-10.511420984508508,38.22313131337092
23,17,37.1845627555241,21.43191363167785,41.792937189011234
23,4,12.565793921160406,8.264386265085122,51.87654800531174
23,3,-14.107774713402756,-10.511420984508508,38.22313131337092
24,4,12.565793921160406,8.264386265085122,51.87654800531174
24,3,-14.107774713402756,-10.511420984508508,38.22313131337092
25,4,12.565793921160406,8.264386265085122,51.87654800531174
25,3,-14.107774713402756,-10.511420984508508,38.22313131337092
26,4,12.565793921160406,8.264386265085122,51.87654800531174
26,3,-14.08942242943161,-10.468614936468853,38.17370919410403
26,17,37.1845627555241,21.43191363167785,41.792937189011234
27,4,12.565793921160406,8.264386265085122,51.87654800531174
27,3,-14.274186552164625,-10.626442913871198,38.74982106184454
28,4,12.670411924629834,8.346419023925726,52.45453765252165
28,3,-14.047833524738964,-10.450487866758928,38.05991412111097
29,4,12.565793921160406,8.264386265085122,51.87654800531174
29,3,-14.107774713402756,-10.511420984508508,38.22313131337092
30,4,12.565793921160406,8.264386265085122,51.87654800531174
30,3,-14.206243764128534,-10.572610938266342,38.4498567579786
31,4,12.565793921160406,8.264386265085122,51.87654800531174
31,3,-14.107774713402756,-10.511420984508508,38.22313131337092
32,4,12.565793921160406,8.264386265085122,51.87654800531174
32,3,-14.107774713402756,-10.511420984508508,38.22313131337092
33,4,12.565793921160406,8.264386265085122,51.87654800531174
33,3,-14.274186552164625,-10.626442913871198,38.74982106184454
34,4,12.670411924629834,8.346419023925726,52.45453765252165
34,3,-14.107774713402756,-10.511420984508508,38.22313131337092
35,4,12.670411924629834,8.346419023925726,52.45453765252165
35,3,-14.107774713402756,-10.511420984508508,38.22313131337092
36,4,12.565793921160406,8.264386265085122,51.87654800531174
36,3,-14.206243764128534,-10.572610938266342,38.4498567579786
37,4,12.565793921160406,8.264386265085122,51.87654800531174
37,3,-14.206243764128534,-10.572610938266342,38.4498567579786
38,4,12.670411924629834,8.346419023925726,52.45453765252165
38,3,-14.107774713402756,-10.511420984508508,38.22313131337092
39,4,12.670411924629834,8.346419023925726,52.45453765252165
39,3,-14.206243764128534,-10.572610938266342,38.4498567579786
40,4,12.670411924629834,8.346419023925726,52.45453765252165
40,3,-14.107774713402756,-10.511420984508508,38.22313131337092
41,4,12.670411924629834,8.346419023925726,52.45453765252165
41,3,-14.206243764128534,-10.572610938266342,38.4498567579786
42,4,12.565793921160406,8.264386265085122,51.87654800531174
42,3,-14.107774713402756,-10.511420984508508,38.22313131337092
43,4,12.670411924629834,8.346419023925726,52.45453765252165
43,3,-14.107774713402756,-10.511420984508508,38.22313131337092
44,17,16.9334213095546,7.731457924931777,18.195642008550447
44,4,12.670411924629834,8.346419023925726,52.45453765252165
44,3,-14.047833524738964,-10.450487866758928,38.05991412111097
45,4,12.670411924629834,8.346419023925726,52.45453765252165
45,3,-14.274186552164625,-10.626442913871198,38.74982106184454
46,4,12.565793921160406,8.264386265085122,51.87654800531174
46,3,-14.107774713402756,-10.511420984508508,38.22313131337092
47,4,12.565793921160406,8.264386265085122,51.87654800531174
47,3,-14.250612934556745,-10.587620980159933,38.614675269840276
48,4,12.565793921160406,8.264386265085122,51.87654800531174
48,3,-14.206243764128534,-10.572610938266342,38.4498567579786
48,17,218.51105747488094,116.53790448467555,241.1169468767877
49,4,12.670411924629834,8.346419023925726,52.45453765252165
49,3,-14.107774713402756,-10.511420984508508,38.22313131337092
50,4,12.565793921160406,8.264386265085122,51.87654800531174
50,3,-14.047833524738964,-10.450487866758928,38.05991412111097
51,4,12.565793921160406,8.264386265085122,51.87654800531174
51,3,-14.107774713402756,-10.511420984508508,38.22313131337092
52,4,12.670411924629834,8.346419023925726,52.45453765252165
52,3,-14.107774713402756,-10.511420984508508,38.22313131337092
53,4,12.565793921160406,8.264386265085122,51.87654800531174
53,3,-14.206243764128534,-10.572610938266342,38.4498567579786
54,4,12.670411924629834,8.346419023925726,52.45453765252165
54,3,-14.107774713402756,-10.511420984508508,38.22313131337092
55,4,12.565793921160406,8.264386265085122,51.87654800531174
55,3,-14.107774713402756,-10.511420984508508,38.22313131337092
56,4,12.670411924629834,8.346419023925726,52.45453765252165
56,3,-14.107774713402756,-10.511420984508508,38.22313131337092
57,4,12.670411924629834,8.346419023925726,52.45453765252165
57,3,-14.107774713402756,-10.511420984508508,38.22313131337092
58,4,12.565793921160406,8.264386265085122,51.87654800531174
58,3,-14.274186552164625,-10.626442913871198,38.74982106184454
59,4,12.565793921160406,8.264386265085122,51.87654800531174
