1,2023-06-23 15-08-15.116860,-23.63316019200076,-36.19906527721867,left,200,0
2,2023-06-23 15-08-19.036745,-23.589580254622575,-36.157624770440705,left,200,10
3,2023-06-23 15-08-22.922333,-21.66535917397902,-36.834412696418866,left,200,20
4,2023-06-23 15-08-26.815567,-20.46710397341713,-36.19224885826163,left,200,30
5,2023-06-23 15-08-30.701027,-19.42603429468041,-36.136358966541856,left,200,40
6,2023-06-23 15-08-34.658505,-18.368212861659067,-36.28816019856379,left,200,50
7,2023-06-23 15-08-38.544842,-18.41179279903725,-36.329600705341754,left,200,60
8,2023-06-23 15-08-42.426701,-17.35167766536427,-36.505068057000535,left,200,70
9,2023-06-23 15-08-46.373736,-17.295739014114268,-36.463948393464634,left,200,80
10,2023-06-23 15-08-50.324977,-15.18123658726624,-36.16149981468406,left,200,90
11,2023-06-23 15-08-54.348327,-15.18123658726624,-36.16149981468406,left,200,100
12,2023-06-23 15-08-58.229234,-13.009506785039594,-36.64136239840418,left,200,110
13,2023-06-23 15-09-02.118525,-13.067144629563977,-36.71603929958105,left,200,120
14,2023-06-23 15-09-06.069509,-10.942068386734839,-36.55429089057992,left,200,130
15,2023-06-23 15-09-09.958626,-11.02732079625414,-36.69954093156589,left,200,140
16,2023-06-23 15-09-13.912092,-9.092695390683112,-36.38293307824817,left,200,150
17,2023-06-23 15-09-18.199052,-8.953455818296703,-36.65060881093278,left,200,160
18,2023-06-23 15-09-22.076307,-6.937913671565369,-36.594268389844004,left,200,170
19,2023-06-23 15-09-25.955803,-6.586665501892275,-37.22410822348691,left,200,180
20,2023-06-23 15-09-29.843049,-4.647684925834698,-37.128789708398436,left,200,190
21,2023-06-23 15-09-33.927731,-2.9340020988623436,-36.396052358490266,left,200,200
1,2023-06-23 15-13-00.249082,nan,nan,left,200,0
2,2023-06-23 15-13-04.203756,nan,nan,left,200,10
3,2023-06-23 15-13-08.211816,nan,nan,left,200,20
4,2023-06-23 15-13-12.283107,nan,nan,left,200,30
5,2023-06-23 15-13-16.171128,nan,nan,left,200,40
6,2023-06-23 15-13-20.308512,nan,nan,left,200,50
7,2023-06-23 15-13-24.197120,nan,nan,left,200,60
8,2023-06-23 15-13-28.149508,nan,nan,left,200,70
9,2023-06-23 15-13-32.029103,nan,nan,left,200,80
10,2023-06-23 15-13-35.910942,-14.377353396603292,-36.46041027937317,left,200,90
11,2023-06-23 15-13-39.799109,-13.332053385304496,-36.62765252878328,left,200,100
12,2023-06-23 15-13-43.679224,-12.27370308507458,-36.765009109563444,left,200,110
13,2023-06-23 15-13-47.633676,-12.314116464607466,-36.76425632267208,left,200,120
14,2023-06-23 15-13-51.517534,-11.210865024100114,-36.85028577492287,left,200,130
15,2023-06-23 15-13-55.533942,-9.109550767991648,-36.82923876335892,left,200,140
16,2023-06-23 15-13-59.553601,-8.296083201257016,-36.3019196176105,left,200,150
17,2023-06-23 15-14-03.432841,-8.296083201257016,-36.3019196176105,left,200,160
18,2023-06-23 15-14-07.301618,-7.110267825048616,-36.713277661163055,left,200,170
19,2023-06-23 15-14-11.245892,-7.110267825048616,-36.713277661163055,left,200,180
20,2023-06-23 15-14-15.132555,-5.020656221847373,-36.739167083591774,left,200,190
21,2023-06-23 15-14-19.017978,-5.020656221847373,-36.739167083591774,left,200,200
22,2023-06-23 15-14-22.898421,-2.561023722341732,-37.288382393048394,left,200,210
23,2023-06-23 15-14-26.848194,-3.0308319893793048,-36.630246148982444,left,200,220
24,2023-06-23 15-14-30.859727,-0.8514133789974743,-36.859307850878515,left,200,230
25,2023-06-23 15-14-34.807038,-0.8096736607110806,-36.87334644900304,left,200,240
26,2023-06-23 15-14-38.681763,1.374351987109442,-37.093657288444675,left,200,250
27,2023-06-23 15-14-42.697620,1.086986253268929,-36.755046616741005,left,200,260
28,2023-06-23 15-14-46.978468,3.1949513904118483,-36.811622679478894,left,200,270
29,2023-06-23 15-14-50.993134,3.161248409167257,-36.843301397185535,left,200,280
30,2023-06-23 15-14-54.869648,5.114359382515538,-36.915079718119486,left,200,290
31,2023-06-23 15-14-58.823187,5.1827697600602285,-36.86382757129031,left,200,300
32,2023-06-23 15-15-02.838592,nan,nan,left,200,310
